node;degree
Schlegel, August Wilhelm von;156
Schelling, Caroline von;93
Schlegel, Friedrich von;70
Tieck, Ludwig;25
Böhmer, Auguste;25
Goethe, Johann Wolfgang von;23
Eschenburg, Johann Joachim;13
Dornford, Josiah ;12
Hufeland, Gottlieb;12
Bernhardi, August Ferdinand;11
Falk, Johann Daniel ;10
Schlegel, Johanna Christiane Erdmuthe;10
Hufeland, Konradine Luise Wilhelmine;10
Bernhardi, Sophie;10
Schelling, Friedrich Wilhelm Joseph von;10
Schiller, Friedrich;10
Schlegel, Johann Carl Fürchtegott;9
Schleiermacher, Friedrich;9
Cruse, Johann Christian Gottlieb;8
Fichte, Johann Gottlieb;7
Schlegel, Dorothea von;7
Tieck, Christian Friedrich;7
Göschen, Georg Joachim, der Ältere;7
Tieck, Amalie;7
Bury, Friedrich;6
Novalis;6
Hülsen, August Ludwig;6
Heyne, Christian Gottlob;6
Gries, Johann Diederich;5
Böttiger, Carl August;5
Schütz, Christian Gottfried;5
Tischbein, Johann Friedrich August ;5
Mogge Muilman, Willem Ferdinand;5
Ernst, Henriette;5
Kosegarten, Ludwig Gotthard;5
Mendelssohn, Henriette;5
Schütz, Wilhelm von;4
Herder, Johann Gottfried von;4
Pape, Georg Wilhelm August von;4
Schiller, Charlotte von;4
Becker, Frau;4
Ernst, Sigmund;4
Göschen, Wilhelm Heinrich;4
Göschen, Georg Joachim, der Jüngere;4
Eschenburg, Marie Dorothea;4
Ernst, Charlotte;4
Voigt, Amalie von ;4
Steffens, Henrik;4
Tischbein, Sophie;4
Wolf, Friedrich August;4
Arnswaldt, Karl Friedrich Alexander von;4
Göschen, Johanna Henriette;4
Göschen, Carl Friedrich;4
Göschen, Charlotte;4
Eschen, Friedrich August;3
Fouqué, Caroline de La Motte-;3
Schlegel, Johann Adolf;3
Dassdorf, Karl Wilhelm;3
Schlegel, Karl August Moritz;3
Campe, Charlotte;3
Genelli, Hans Christian;3
Schlegel, Julie;3
Humboldt, Wilhelm von;3
Muilman, Hendrik;3
Reichardt, Johann Friedrich;3
Wieland, Christoph Martin;3
Iffland, Luise;3
Meyer, Heinrich;3
Fouqué, Friedrich de La Motte-;3
Schadow, Gottfried;3
Vieweg, Charlotte;2
Muilman, Susanna Cornelia (geb. Mogge);2
Nuys, Elisabeth Wilhelmine van;2
Schede, Caroline (geb. Wucherer);2
Iffland, August Wilhelm;2
Hooft, Suzanna Cornelia (geb. Muilman);2
Voigt, Christian Gottlob von, der Ältere;2
Niethammer, Rosine Eleonore;2
Reuss, Marianne;2
Vieweg, Friedrich;2
Tieck, Dorothea;2
Reichardt, Johanna;2
Charpentier, Julie von;2
Castricum, Maria Henriëtte van (geb. Muilman, gen. Jetje);2
Möller, Johann Georg Ludwig;2
Hufeland, Adolph;2
Bürger, Elise ;2
Bertuch, Caroline;2
Briest, August von;2
Breiger, Anna Elisabeth (Betty, geb. Trummer);2
Ernst, Ludwig Emanuel;2
Smith, George Thomas;2
Tatter, Georg Ernst;2
Falk, Caroline;2
Ploch, Herr;2
Schlegel, Charlotte ;2
Gärtner, Herr (Braunschweig);2
Unger, Johann Friedrich Gottlieb;2
Honstedt, August von;2
Frölich, Heinrich;2
Gotter, Cäcilie;2
Herder, Caroline von;2
Heun/Heyne, Marianne;2
Bernhardi, Friedrich Wilhelm;2
Froriep, Charlotte;2
Heyne, Georgine (geb. Brandes);2
Hardenberg, Sidonie von ;2
Becker, Wilhelm Gottlieb;2
Bethmann, Friederike;2
Eybenberg, Marianne von ;1
Beresford, Benjamin;1
Bialloblotzky, Heinrich Siegfried ;1
Brandes, Marie Friederike;1
Crause/Krause, Herr;1
Brachmann, Louise;1
Prehn, Henning Joachim van;1
Erxleben, Sophie Juliane (geb. Stromeyer);1
Fölkersahm, Georg von;1
Lawrence, Richard James;1
Michaelis, Johann David ;1
Lichtenberg, Georg Christoph ;1
Bothmer, Frau;1
Schlözer, August Ludwig von;1
Bürger, Gottfried August;1
Fischer, Johann Heinrich;1
Mehmel, Gottlieb Ernst August ;1
Frommann, Johanna;1
Fischer, Johann Carl Christian;1
Huber, Ludwig Ferdinand;1
Huber, Therese;1
Salfeld, Johann Christoph ;1
Böttiger, Karoline Eleonore;1
Pölchau, Herr;1
Rehberg, Frau (Mutter von August Wilhelm und Caroline Rehberg);1
Rehberg, Caroline;1
Rehberg, August Wilhelm;1
Mastiaux, Kaspar Anton von ;1
Krohne, Friedrich Wilhelm;1
Marcus, Adalbert Friedrich;1
Macdonald, James;1
Less, Gottfried;1
Lenz, Karl Gotthold;1
Körner, Christian Gottfried ;1
Kunze, Betty;1
Matthiae, August;1
Koch, Carolina Augusta (geb. Schindler);1
Gareis, Franz ;1
Woltmann, Karl Ludwig von;1
Gotter, Julie;1
Heinsius, Wilhelm ;1
Wyttenbach, Daniel Albert ;1
Fauche, Frau;1
Rochow, Theodor Heinrich Rochus von ;1
Frölich, Frau (Ehefrau von Heinrich Frölich);1
Rochow, Clara Maria von;1
Briest, Friederike Marie Helene von (geb. von Luck);1
Fiorillo, Johann Dominik;1
Rochow, Gustav Adolf Rochus von ;1
Loder, Charlotte Luise Auguste;1
Schindler, Johann Friedrich;1
Schindler, Carl August;1
Paulus, Heinrich Eberhard Gottlob ;1
Bouterwek, Friedrich;1
Luck, Charlotte Louise von;1
Tieck, Johann Ludwig;1
Tieck, Anna Sophie;1
Campe, Friedrich ;1
Schläger, Luise;1
Hermann, Gottfried;1
Heeren, Arnold Hermann Ludwig;1
Loder, Justus Christian von;1
Cotta, Johann Friedrich von;1
Redlich, Georg;1
Kunze, Herr;1
Schlegel, Caroline (Tante Caroline);1
Niethammer, Friedrich Immanuel ;1
Schlegel, Caroline;1
Wiedemann, Fräulein;1
Smith, Juliet;1
Michaelis, Louise Philippine Antoinette;1
Schlegel, Johan F. W.;1
Schikler, Herr;1
Anton, Karl Gottlob von;1
Eichstaedt, Heinrich Carl Abraham ;1
Reimer, Georg Andreas;1
Spall, Wilhelmine;1
Uhle, August Georg;1
Hummel, Johann Erdmann ;1
Burgsdorff, Wilhelm von;1
Schröter, Corona;1
Voigts, Jenny von;1
Welcker, Emma (geb. Wiedemann);1
Wilken, Caroline;1
Zimmermann, Johann Georg;1
