subject_name;object_name;count;weight
Mastiaux, Kaspar Anton von ;Schelling, Caroline von;1;0.1
Schelling, Caroline von;Gries, Johann Diederich;1;0.1
Schelling, Caroline von;Herder, Caroline von;1;0.1
Schelling, Caroline von;Herder, Johann Gottfried von;1;0.1
Schelling, Caroline von;Wieland, Christoph Martin;1;0.1
Schlegel, August Wilhelm von;Fiorillo, Johann Dominik;1;0.1
Schlegel, August Wilhelm von;Herder, Caroline von;1;0.1
Schlegel, August Wilhelm von;Schiller, Charlotte von;1;0.1
Schlegel, Friedrich von;Wieland, Christoph Martin;1;0.1
Schütz, Christian Gottfried;Schelling, Caroline von;1;0.1
Schütz, Christian Gottfried;Schlegel, Friedrich von;1;0.1
